Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,College Pace,OffRtg,DefRtg,College Name,Years in College
2005,1,Andrew Bogut,0,213,118,2226,449,744,13,36,215,319,0,753,155,48,109,0,0,1126,51.5,128.7,111.2,utah,2
2005,2,Marvin Williams,0,206,108,800,125,247,19,44,138,163,0,236,26,39,17,0,0,407,63.3,139,110.9,north-carolina,1
2005,3,Deron Williams,1,190,91,3200,400,947,163,436,148,216,0,334,594,115,22,0,0,1111,55,136.1,112.6,illinois,3
2005,4,Chris Paul,1,183,79,2110,278,589,86,183,306,365,0,245,395,160,13,0,0,948,61.1,137.8,122.8,wake-forest,2
2005,5,Raymond Felton,0,185,93,3421,414,978,174,464,258,353,0,417,698,192,27,0,0,1260,61.6,131,117.1,north-carolina,3
#2005,6,Martell Webster,0,201,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2005,7,Charlie Villanueva,0,211,105,1405,272,525,24,61,139,204,0,425,63,26,105,0,0,707,62.3,125.8,104.9,connecticut,2
2005,8,Channing Frye,0,211,116,3686,707,1257,6,23,369,486,0,975,176,86,258,0,0,1789,63.1,132.3,117.5,arizona,4
2005,9,Ike Diogu,0,203,113,3190,617,1080,41,106,671,854,0,802,113,39,153,0,0,1946,58.8,128.9,124.4,arizona-state,3
#2005,10,Andrew Bynum,1,213,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2005,11,Fran Vazquez,0,208,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2005,12,Yaroslav Korolev,0,206,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2005,13,Sean May,0,206,121,2139,442,862,0,11,329,459,0,771,113,100,94,0,0,1213,61.6,131,117.1,north-carolina,3
2005,14,Rashad McCants,0,193,94,2863,614,1263,221,533,272,377,0,398,204,145,61,0,0,1721,61.6,131,117.1,north-carolina,3
2005,15,Antoine Wright,0,201,95,2793,467,1134,181,482,223,344,0,487,184,95,50,0,0,1338,57.5,126.5,123.6,texas-am,3
2005,16,Joey Graham,0,201,102,3337,597,1132,71,188,402,497,0,667,210,100,33,0,0,1667,56.2,138.2,113.6,oklahoma-state,2
2005,17,Danny Granger,1,206,101,2695,529,1066,78,213,450,598,0,781,154,148,180,0,0,1586,54.9,132,118.4,new-mexico,2
#2005,18,Gerald Green,0,201,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2005,19,Hakim Warrick,0,206,99,4186,767,1432,10,40,529,803,0,1025,207,131,128,0,0,2073,58.9,127.3,114.1,syracuse,4
2005,20,Julius Hodge,0,201,95,4258,665,1407,114,347,596,784,0,773,454,161,82,0,0,2040,55.1,133.3,121.2,north-carolina-state,4
2005,21,Nate Robinson,0,175,82,2510,446,975,127,365,264,333,0,345,285,140,9,0,0,1283,60.9,131.7,124.8,washington,3
2005,22,Jarrett Jack,0,190,91,3260,406,850,93,259,360,452,0,450,543,183,11,0,0,1265,59.5,125.9,114.1,georgia-tech,3
2005,23,Francisco Garcia,0,201,88,2757,462,1031,180,488,309,364,0,379,346,145,134,0,0,1413,57.6,136.2,112.4,louisville,3
2005,24,Luther Head,0,190,84,3250,452,956,209,547,182,242,0,403,326,158,23,0,0,1295,55.7,135.6,113.7,illinois,4
#2005,25,Johan Petro,0,213,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2005,26,Jason Maxiell,0,201,118,3563,562,1108,2,7,440,674,0,908,87,91,251,0,0,1566,56.5,132,111.3,cincinnati,4
2005,27,Linas Kleiza,0,203,111,1408,229,555,39,136,210,297,0,385,66,27,14,0,0,707,56,123.6,124,missouri,2
#2005,28,Ian Mahinmi,0,211,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2005,29,Wayne Simien,0,206,116,2817,585,1048,6,25,417,532,0,884,93,78,78,0,0,1593,61.8,131.1,110.9,kansas,4
2005,30,David Lee,1,206,111,3171,543,935,0,6,350,514,0,869,251,113,109,0,0,1436,57.7,133.6,114.2,florida,4
#2006,1,Andrea Bargnani,0,213,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2006,2,LaMarcus Aldridge,1,211,118,1602,276,471,0,0,161,248,0,434,34,67,97,0,0,713,58,131.2,111,texas,2
2006,3,Adam Morrison,0,203,93,2908,669,1329,128,348,401,527,0,485,188,66,35,0,0,1867,59.6,134.7,116.7,gonzaga,3
2006,4,Tyrus Thomas,0,206,98,829,152,250,1,1,90,137,0,295,42,33,99,0,0,395,59.4,123.2,107.5,louisiana-state,1
2006,5,Shelden Williams,0,206,113,3903,687,1202,4,12,550,792,0,1262,119,161,422,0,0,1928,59.6,134.5,112.5,duke,4
2006,6,Brandon Roy,1,198,98,2837,533,1041,53,154,358,468,0,517,308,103,49,0,0,1477,60.6,133.2,122.9,washington,4
2006,7,Randy Foye,0,193,97,4096,682,1711,213,647,389,498,0,625,416,198,52,0,0,1966,55.6,130.4,119.2,villanova,4
2006,8,Rudy Gay,0,203,104,1908,319,692,56,148,176,244,0,378,116,83,111,0,0,870,62.8,127.2,106.6,connecticut,2
2006,9,Patrick O'Bryant,0,213,118,1265,241,435,0,0,123,179,0,408,38,46,147,0,0,605,57.6,122.8,118.3,bradley,2
#2006,10,Mouhamed Sene,0,211,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2006,11,J.J. Redick,0,193,86,4732,825,1906,457,1126,662,726,0,375,306,152,9,0,0,2769,59.6,134.5,112.5,duke,4
2006,12,Hilton Armstrong,0,211,107,1980,227,403,1,3,159,275,0,517,73,43,191,0,0,614,62.7,126.8,107.3,connecticut,4
#2006,13,Thabo Sefolosha,0,201,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2006,14,Ronnie Brewer,0,201,100,2974,493,1067,104,306,326,486,0,452,299,216,49,0,0,1416,55.9,127.6,117,arkansas,3
2006,15,Cedric Simmons,0,206,107,1189,170,301,2,4,144,221,0,260,68,26,115,0,0,486,55.6,132.8,120.1,north-carolina-state,2
2006,16,Rodney Carney,0,201,93,3670,659,1587,287,792,296,413,0,651,155,134,131,0,0,1901,57.6,129.5,114.2,memphis,4
2006,17,Shawne Williams,0,206,102,1002,156,375,48,154,114,145,0,222,67,50,49,0,0,474,59.5,134.5,110,memphis,1
#2006,18,Oleksiy Pecherov,0,213,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2006,19,Quincy Douby,0,190,79,3045,581,1344,251,646,277,338,0,274,257,121,62,0,0,1690,55,122.7,121.5,rutgers,3
2006,20,Renaldo Balkman,0,203,94,2193,317,573,16,55,121,227,0,550,176,123,112,0,0,771,54.3,126.8,116.6,south-carolina,3
2006,21,Rajon Rondo,1,185,84,1908,249,505,28,99,128,222,0,306,285,156,13,0,0,654,55.6,129.8,115.7,kentucky,2
2006,22,Marcus Williams,0,190,93,1954,203,505,54,144,167,211,0,227,510,72,14,0,0,627,62.5,127.3,105.6,connecticut,3
2006,23,Josh Boone,0,208,108,2672,382,661,0,0,195,349,0,718,84,53,222,0,0,959,62.5,127.3,105.6,connecticut,3
2006,24,Kyle Lowry,1,183,93,1524,181,403,13,40,168,228,0,219,171,108,13,0,0,543,54.1,135.9,116.6,villanova,2
2006,25,Shannon Brown,0,193,93,2712,416,910,110,302,241,290,0,329,188,124,11,0,0,1183,55.4,134.8,121.5,michigan-state,3
2006,26,Jordan Farmar,0,188,82,2122,292,712,97,291,200,263,0,196,342,82,12,0,0,881,56.3,125.9,115.5,ucla,2
#2006,27,Sergio Rodriguez,0,190,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2006,28,Maurice Ager,0,196,92,3176,523,1185,202,532,306,395,0,424,181,62,39,0,0,1554,54.8,133,120,michigan-state,4
2006,29,Mardy Collins,0,198,100,4683,718,1798,182,624,301,482,0,569,398,290,29,0,0,1919,50.9,126.9,123.8,temple,4
#2006,30,Joel Freeland,0,208,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2007,1,Greg Oden,0,213,113,925,189,307,0,0,123,196,0,306,21,18,105,0,0,501,56,133,110.7,ohio-state,1
2007,2,Kevin Durant,1,206,109,1255,306,647,82,203,209,256,0,390,46,66,67,0,0,903,60.9,134.2,118.6,texas,1
2007,3,Al Horford,1,208,111,2798,424,724,0,4,275,444,0,864,187,94,189,0,0,1123,57.4,136.2,110,florida,3
2007,4,Mike Conley,0,185,79,1231,160,309,21,69,100,144,0,134,238,87,10,0,0,441,56,133,110.7,ohio-state,1
2007,5,Jeff Green,0,206,107,3388,485,994,89,248,280,400,0,664,318,92,127,0,0,1339,51.1,130,116.1,georgetown,3
#2007,6,Yi Jianlian,0,213,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2007,7,Corey Brewer,0,206,84,2939,427,890,99,278,272,384,0,469,300,176,44,0,0,1225,57.4,136.2,110,florida,3
2007,8,Brandan Wright,0,208,95,1013,228,353,0,0,89,157,0,229,37,36,65,0,0,545,62.2,137.8,110.3,north-carolina,1
2007,9,Joakim Noah,1,211,104,2279,411,667,1,2,310,453,0,687,185,95,186,0,0,1133,57.4,136.2,110,florida,3
2007,10,Spencer Hawes,0,216,111,896,193,363,1,3,74,98,0,197,60,16,54,0,0,461,58.9,130,124,washington,1
2007,11,Acie Law,0,190,88,3760,605,1298,114,319,345,454,0,379,545,156,2,0,0,1669,54.4,133.3,119.2,texas-am,4
2007,12,Thaddeus Young,0,203,100,917,177,370,39,93,52,70,0,151,63,39,12,0,0,445,57.3,137.1,121.1,georgia-tech,1
2007,13,Julian Wright,0,203,102,1711,314,566,3,16,107,181,0,450,142,86,91,0,0,738,58.4,131.5,105.4,kansas,2
2007,14,Al Thornton,0,203,100,2723,546,1034,63,144,366,522,0,641,87,103,74,0,0,1521,57.2,127.3,119.5,florida-state,4
2007,15,Rodney Stuckey,1,196,95,1955,477,1011,98,309,386,479,0,279,283,137,17,0,0,1438,60.9,129.8,128.4,eastern-washington,2
2007,16,Nick Young,0,201,95,2990,553,1143,95,258,285,373,0,487,137,80,26,0,0,1486,57.9,123.6,120.3,southern-california,3
2007,17,Sean Williams,0,208,107,1414,138,239,0,0,101,167,0,290,44,42,193,0,0,377,57.1,129.1,117.1,boston-college,3
#2007,18,Marco Belinelli,0,196,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2007,19,Javaris Crittenton,0,196,91,1003,158,351,36,101,108,138,0,119,184,65,2,0,0,460,57.3,137.1,121.1,georgia-tech,1
2007,20,Jason Smith,0,213,111,2429,456,832,8,26,361,481,0,683,173,47,149,0,0,1281,57.8,124.9,122.2,colorado-state,3
2007,21,Daequan Cook,0,196,93,770,141,317,54,130,46,66,0,167,40,28,10,0,0,382,56,133,110.7,ohio-state,1
2007,22,Jared Dudley,0,201,102,4727,689,1368,120,329,573,784,0,936,395,176,37,0,0,2071,56.7,127.4,116.2,boston-college,4
2007,23,Wilson Chandler,1,203,102,1834,299,672,47,155,116,176,0,416,72,41,86,0,0,761,54.1,122.5,120.6,depaul,2
#2007,24,Rudy Fernandez,0,198,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2007,25,Morris Almond,0,198,102,3279,627,1275,153,352,418,507,0,419,119,89,65,0,0,1825,58.3,122.4,120,rice,4
2007,26,Aaron Brooks,0,183,73,3759,500,1164,205,548,306,367,0,397,470,127,16,0,0,1511,56.7,128.5,121.6,oregon,4
2007,27,Arron Afflalo,1,196,95,3396,519,1135,209,560,293,375,0,360,202,64,20,0,0,1540,54.8,128.7,114.2,ucla,3
#2007,28,Tiago Splitter,0,211,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2007,29,Alando Tucker,0,198,93,4297,798,1663,101,329,520,817,0,769,213,104,29,0,0,2217,53.1,130.6,113.3,wisconsin,4
#2007,30,Petteri Koponen,0,193,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2008,1,Derrick Rose,1,190,86,1168,208,436,35,104,146,205,0,181,189,48,15,107,0,597,58.4,136.9,106.1,memphis,1
2008,2,Michael Beasley,0,206,107,1041,307,577,36,95,216,279,0,408,38,42,54,95,0,866,59.3,131.6,116.3,kansas-state,1
2008,3,O.J. Mayo,0,196,95,1216,237,536,88,215,122,152,0,150,109,51,13,117,0,684,56.9,121.3,112,southern-california,1
2008,4,Russell Westbrook,1,190,91,1643,230,496,35,99,124,181,0,181,191,77,8,96,0,619,53.2,134.4,109.8,ucla,2
2008,5,Kevin Love,1,208,114,1156,227,406,29,82,198,258,0,415,75,27,56,78,0,681,54.7,134.5,107.9,ucla,1
#2008,6,Danilo Gallinari,0,208,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2008,7,Eric Gordon,0,193,98,1110,184,425,70,208,231,277,0,104,78,42,20,115,0,669,57.1,131.4,114.4,indiana,1
2008,8,Joe Alexander,0,203,104,2072,367,821,51,173,205,268,0,393,160,49,99,80,0,990,53.7,135.5,117.6,west-virginia,3
2008,9,D.J. Augustin,0,183,83,2662,396,894,119,296,323,400,0,211,452,100,3,105,0,1234,58.4,134.5,117.3,texas,2
2008,10,Brook Lopez,1,213,125,1485,324,675,3,21,198,259,0,377,57,27,101,58,0,849,56.2,124.9,114.3,stanford,2
2008,11,Jerryd Bayless,0,190,91,1072,173,378,59,145,187,223,0,82,121,29,3,89,0,592,55.4,129.6,120.8,arizona,1
2008,12,Jason Thompson,0,211,113,3922,759,1443,30,103,492,738,0,1171,246,104,235,99,0,2040,59.1,123.7,124,rider,4
2008,13,Brandon Rush,0,198,100,3408,536,1193,205,471,200,273,0,602,222,76,89,69,0,1477,58.1,134.2,105.8,kansas,3
2008,14,Anthony Randolph,0,208,93,1016,183,394,2,19,115,166,0,263,38,35,70,92,0,483,58.4,117.7,118.4,louisiana-state,1
2008,15,Robin Lopez,1,213,116,1626,236,462,1,2,128,209,0,376,51,23,156,63,0,601,56.2,124.9,114.3,stanford,2
2008,16,Marreese Speights,0,208,116,1063,273,431,0,0,110,160,0,376,36,23,64,62,0,656,57.6,136.7,113.1,florida,2
2008,17,Roy Hibbert,1,218,122,3169,573,950,3,3,327,481,0,808,176,55,259,57,0,1476,51.7,130.1,114.3,georgetown,4
2008,18,JaVale McGee,0,213,122,1232,234,432,16,45,90,175,0,314,23,32,122,80,0,574,59.3,128.9,116.5,nevada,2
2008,19,J.J. Hickson,1,206,110,890,163,276,0,1,132,195,0,262,31,22,47,83,0,458,58,116.1,120.2,north-carolina-state,1
#2008,20,Alexis Ajinca,0,218,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2008,21,Ryan Anderson,1,208,109,2178,419,866,122,308,276,328,0,597,63,34,36,74,0,1236,56.9,128.2,126.7,california,2
2008,22,Courtney Lee,1,196,91,3957,802,1729,245,611,389,476,0,663,281,242,78,84,0,2238,57,136.1,123.6,western-kentucky,4
2008,23,Kosta Koufos,0,213,120,1003,222,437,22,63,68,100,0,247,19,16,67,55,0,534,56.3,122.4,110.4,ohio-state,1
#2008,24,Serge Ibaka,1,208,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2008,25,Nicolas Batum,1,203,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2008,26,George Hill,1,190,85,3164,536,1013,90,223,457,582,0,547,317,155,29,94,0,1619,52.8,134.9,126.6,iupui,4
2008,27,Darrell Arthur,0,206,107,1710,369,682,2,17,144,213,0,427,50,53,109,75,0,884,57.9,137.2,106.3,kansas,2
2008,28,Donte Greene,0,211,103,1253,218,521,90,261,94,133,0,251,71,45,57,91,0,620,62.3,126.7,119.2,syracuse,1
2008,29,D.J. White,0,206,114,3025,548,975,1,3,350,507,0,748,93,68,198,63,0,1447,54.3,129.5,119,indiana,4
2008,30,J.R. Giddens,0,196,98,3533,618,1333,203,580,186,309,0,692,232,118,94,73,0,1625,55.5,134.7,122.3,new-mexico,2
2009,1,Blake Griffin,1,208,114,0,484,783,3,10,307,521,0,805,141,72,69,192,0,1278,60.4,121.7,109.4,oklahoma,2
2009,2,Hasheem Thabeet,0,221,119,0,359,588,0,0,310,496,0,847,41,37,417,126,0,1028,62.7,120.3,104.2,connecticut,3
2009,3,James Harden,1,196,100,0,417,824,102,271,373,494,0,374,258,132,30,207,0,1309,54.6,124.9,112.5,arizona-state,2
2009,4,Tyreke Evans,0,198,100,0,230,505,34,124,138,194,0,198,143,77,29,133,0,632,64,117.3,91.8,memphis,1
#2009,5,Ricky Rubio,0,193,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2009,6,Jonny Flynn,0,183,84,0,410,892,101,303,290,371,0,198,439,107,12,224,0,1211,66.6,120,110.3,syracuse,2
2009,7,Stephen Curry,1,190,86,0,871,1866,414,1004,479,547,0,473,388,221,28,219,0,2635,60.5,131.2,109.4,davidson,3
2009,8,Jordan Hill,0,208,107,0,494,855,0,0,220,346,0,763,80,53,140,169,0,1208,59.5,124.6,117,arizona,3
2009,9,DeMar DeRozan,1,201,100,0,192,367,6,36,95,147,0,201,51,31,13,73,0,485,61.7,111.1,103.1,southern-california,1
#2009,10,Brandon Jennings,0,185,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2009,11,Terrence Williams,0,198,100,0,577,1444,195,609,216,367,0,970,546,210,90,191,0,1565,57.6,125.7,109.7,louisville,4
2009,12,Gerald Henderson,0,196,98,0,456,995,69,210,281,398,0,435,182,101,69,148,0,1262,60.8,127,108.6,duke,3
2009,13,Tyler Hansbrough,0,206,113,0,939,1752,12,38,982,1241,0,1219,154,180,66,146,0,2872,65.1,132.2,108.6,north-carolina,4
2009,14,Earl Clark,0,208,102,0,419,897,56,188,210,328,0,728,179,93,124,199,0,1104,58.5,125,106.9,louisville,3
2009,15,Austin Daye,0,211,100,0,275,577,62,147,166,210,0,386,69,45,124,129,0,778,61.6,126.5,103.3,gonzaga,2
2009,16,James Johnson,0,206,113,0,351,682,50,169,151,218,0,508,99,85,88,152,0,903,64.5,119.2,109.6,wake-forest,2
2009,17,Jrue Holiday,1,193,93,0,112,249,27,88,45,62,0,132,129,55,18,75,0,296,61.7,122.3,103.7,ucla,1
2009,18,Ty Lawson,1,180,88,0,463,896,112,278,337,432,0,303,608,184,10,136,0,1375,66.4,133.1,107.4,north-carolina,3
2009,19,Jeff Teague,1,188,84,0,315,682,77,183,293,361,0,184,184,113,35,180,0,1000,64.5,119.2,109.6,wake-forest,2
2009,20,Eric Maynor,0,190,79,0,654,1457,142,384,503,636,0,442,674,168,20,197,0,1953,55.5,127.5,113.3,virginia-commonwealth,4
2009,21,Darren Collison,1,183,79,0,560,1171,163,371,347,408,0,320,572,231,13,161,0,1630,55.2,129.9,108.6,ucla,4
#2009,22,Victor Claver,0,206,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2009,23,Omri Casspi,0,206,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
#2009,24,Byron Mullens,0,213,125,0,120,188,0,1,52,93,0,154,9,16,37,51,0,292,Wrong College Found,ohio-state,0,,
#2009,25,Rodrigue Beaubois,0,183,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
2009,26,Taj Gibson,0,206,102,0,502,866,0,0,303,482,0,896,142,77,253,153,0,1307,58.8,118.7,109.2,southern-california,3
2009,27,DeMarre Carroll,1,203,98,0,599,1119,27,96,281,466,0,806,210,152,59,104,0,1506,63.3,125.8,111.4,missouri,2
2009,28,Wayne Ellington,0,193,91,0,616,1331,229,577,233,288,0,469,258,109,14,128,0,1694,66.4,133.1,107.4,north-carolina,3
2009,29,Toney Douglas,0,188,88,0,739,1673,240,639,462,576,0,492,344,231,37,182,0,2180,59.3,121.4,114.5,florida-state,3
#2009,30,Christian Eyenga,0,196,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did Not Attend College,,,,
